Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Manual of instruction for the volunteers and militia of the Confederate States,,['William Gilham'],http://books.google.com/books/content?id=xmw9kXUyOlcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=xmw9kXUyOlcC&printsec=frontcover&dq=Manual+of+instruction+for+the+volunteers+and+militia+of+the+Confederate+States&hl=&cd=1&source=gbs_api,,1861,https://play.google.com/store/books/details?id=xmw9kXUyOlcC&source=gbs_api,,
Building Wealth from the Ground Up,"""Building Wealth from the Ground Up"" is a strategic real-life approach to climbing out of the basement of debt to finding dollars to build your own financial empire. This book is able to catapult the reader to living their dreams of no financial worries, owning their own business, and retiring early. The consensus among the author's contemporaries is that Mikel Brown's counsel is like a check; all you have to do is cash it!",['Mikel Brown'],http://books.google.com/books/content?id=0n8KAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=0n8KAAAACAAJ&dq=Building+Wealth+from+the+Ground+Up&hl=&cd=1&source=gbs_api,Cjc Publishing Company,2004-04-01,http://books.google.nl/books?id=0n8KAAAACAAJ&dq=Building+Wealth+from+the+Ground+Up&hl=&source=gbs_api,['Business & Economics'],
"The Gay Guy's Guide to Love: The Dos, Don'ts, and Definite Maybes of Dating and Mating",,,,,,,,,
Sweet Talkers (Richard Kasak Books),"""An anthology of writing by women about their first-time erotic experiences with other women. From the longings and ecstasies of awakening dykes to the sometimes awkward pleasures of sexual experimentation on the edge, each of these true stories reveals a different, radical perspective on one of the most traditional subjects around: virginity. The writers-as-sexual-pioneers in this collection focus on the pleasures of exploring this unfamiliar, intimate terrain while searching for-- and perhaps discovering--the truth about the truth about their own desires and boundaries. This important collection promises to boldly challenge popular accounts of women's sexual identities and experiences with other women--and define erotic and literary territory that has been, until now, uncharted."" -- Publisher's description.",['Shar Rednour'],http://books.google.com/books/content?id=qfNKSwjWEzMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=qfNKSwjWEzMC&q=Sweet+Talkers+(Richard+Kasak+Books)&dq=Sweet+Talkers+(Richard+Kasak+Books)&hl=&cd=1&source=gbs_api,Richard Kasak Books,1996,http://books.google.com/books?id=qfNKSwjWEzMC&dq=Sweet+Talkers+(Richard+Kasak+Books)&hl=&source=gbs_api,"['Erotic stories, American']",
Trails of the Heart,,,,,,,,,
Secrets of the Tai Chi Circle: Journey to Enlightenment,,['Luke Chan'],http://books.google.com/books/content?id=mu1CPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=mu1CPQAACAAJ&dq=Secrets+of+the+Tai+Chi+Circle:+Journey+to+Enlightenment&hl=&cd=1&source=gbs_api,,1993,http://books.google.nl/books?id=mu1CPQAACAAJ&dq=Secrets+of+the+Tai+Chi+Circle:+Journey+to+Enlightenment&hl=&source=gbs_api,['Psychology'],
Scientific Handicapping -,,['Ira S. Cohen'],http://books.google.com/books/content?id=THNEmsGzlWkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=THNEmsGzlWkC&q=Scientific+Handicapping+-&dq=Scientific+Handicapping+-&hl=&cd=1&source=gbs_api,Prentice Hall Direct,1966-06,http://books.google.com/books?id=THNEmsGzlWkC&dq=Scientific+Handicapping+-&hl=&source=gbs_api,,
Vanessa-ann's Holidays In Cross-stitch - 1992,,,,,,,,,
Yankee Doodle's Cousins,,['Anne Malcolmson'],,http://books.google.com/books?id=76aFwgEACAAJ&dq=Yankee+Doodle%27s+Cousins&hl=&cd=1&source=gbs_api,,1941,http://books.google.com/books?id=76aFwgEACAAJ&dq=Yankee+Doodle%27s+Cousins&hl=&source=gbs_api,['American fiction'],
Neo-conservatism: The Autobiography of an Idea,"Neoconservatism is the movement that has provided the intellectual foundation for the resurgence of American conservatism in our time. And if neoconservatism can be said to have a father or an architect, that person is Irving Kristol. Neoconservatism is the most comprehensive selection of Kristol's influential writings on politics and economics, as well as the best of his now-famous essays on society, religion, culture, literature, education, and - above all - the ""values"" issues that have come to define the neo-conservative critique of contemporary life. These essays provide an unparalleled insight into the 50-year development of Kristol's social and political ideas, from an uneasy socialism tempered with religious orthodoxy, to a vigilant optimism about the future of the American experiment. Those already familiar with Kristol's work will especially enjoy the new autobiographical essay that introduces this volume; it is sprinkled with personal recollections about such luminaries as Lionel Trilling, Leo Strauss, Saul Bellow, Sidney Hook, Daniel Patrick Moynihan, and historian Gertrude Himmelfarb (who is also Mrs. Kristol). Those relatively new to Kristol's writings will be treated to some of the most lucid, insightful, entertaining, and intellectually challenging essays of our time.",['Irving Kristol'],http://books.google.com/books/content?id=S2nUuTagIw8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=S2nUuTagIw8C&printsec=frontcover&dq=Neo-conservatism:+The+Autobiography+of+an+Idea&hl=&cd=1&source=gbs_api,Simon and Schuster,1995-09-20,http://books.google.nl/books?id=S2nUuTagIw8C&dq=Neo-conservatism:+The+Autobiography+of+an+Idea&hl=&source=gbs_api,['Political Science'],1.0
